Department Family,Entity,Date,Expsene Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector,COMMISSIONING ? NON ACUTE,AGE UK LAMBETH,32929171,29125
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,FAIRFIELDS PRACTICE LONDON,32690194,29147.68
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,STOCKWELL GROUP PRACTICE,32666219,29211.22
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,TORRIDON ROAD MEDICAL PRACTICE,32690121,29235.49
Department of Health,CCG,30/06/2020,Telecoms?Data lines,COMMISSIONING SCHEMES,EXPONENTIAL?E LTD,32681314,29297.1
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,LONDON LANE CLINIC,32768098,29437.46
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,STATION ROAD SURGERY SIDCUP,32690203,29441.13
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,BRIXTON HILL GROUP PRACTICE,32690013,29467.33
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,CHELSFIELD SURGERY,32768044,29487.69
Department of Health,CCG,30/06/2020,Hcare Srv Rec Fdtn Trust?Non Contract,ACUTE COMMISSIONING,SUSSEX COMMUNITY NHS FOUNDATION TRUST,32727164,29600
Department of Health,CCG,30/06/2020,C&M?APMS DES Extended Hours Access,PRC DELEGATED CO?COMMISSIONING,BURSTED WOOD SURGERY,32690173,29608.53
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,MAWBEY GROUP PRACTICE,32690077,29623.9
Department of Health,CCG,30/06/2020,Clinical&Medical?Voluntary Sector,MENTAL HEALTH CONTRACTS,SOUTHSIDE PARTNERSHIP,32619863,29691.37
Department of Health,CCG,30/06/2020,Clinical&Medical?Voluntary Sector,MENTAL HEALTH CONTRACTS,SOUTHSIDE PARTNERSHIP,32619948,29691.37
Department of Health,CCG,30/06/2020,Clinical&Medical?Voluntary Sector,MENTAL HEALTH CONTRACTS,SOUTHSIDE PARTNERSHIP,32748323,29691.37
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,LAKESIDE MEDICAL,32690196,29762.49
Department of Health,CCG,30/06/2020,C&M?PMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,PLUMSTEAD H C PMS,32768151,29888.59
Department of Health,CCG,30/06/2020,Cont Care?Funded Nursing Care Allow,FUNDED NURSING CARE,SANCTUARY CARE LTD,32727230,29984.06
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,LEWISHAM MEDICAL CENTRE,32698057,30054.62
Department of Health,CCG,30/06/2020,Cont Care?Physical Disab (<65),CHC ADULT FULLY FUNDED,COMPLETE CARE HOLDINGS LTD,32816394,30069.17
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,CHINBROOK SURGERY,32666199,30169.65
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,BARNARD PRACTICE,32668617,30262.76
Department of Health,CCG,30/06/2020,Hlthcre?Foundation Trsts,CHILD AND ADOLESCENT MENTAL HEALTH,OXLEAS NHS FOUNDATION TRUST,32681168,30278
Department of Health,CCG,30/06/2020,C&M?PMS Prem Healthcentre Rent,PRC DELEGATED CO?COMMISSIONING,VANBRUGH GROUP PRACTICE,32690220,30384
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector ? Prior Year,COMMISSIONING SCHEMES,BRIXTON HILL GROUP PRACTICE,32800194,30449
Department of Health,CCG,30/06/2020,Cont Care? Children,CHILDRENS CONTINUING CARE,FOCUSED HEALTHCARE LTD,32855621,30489.52
Department of Health,CCG,30/06/2020,C&M?GMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,DYSART SURGERY,32753670,30504.24
Department of Health,CCG,30/06/2020,C&M?APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,BURSTED WOOD SURGERY,32690173,30629.51
Department of Health,CCG,30/06/2020,C&M?GMS Global Sum,PRC DELEGATED CO?COMMISSIONING,ST MARY CRAY PRACTICE,32768125,30638.5
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,AT MEDICS LISTER,32690148,30657.67
Department of Health,CCG,30/06/2020,C&M?GMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,EDEN PARK SURGERY,32768065,30778.37
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector ? Prior Year,COMMISSIONING SCHEMES,STREATHAM COMMON GROUP PRACTICE,32582853,30794
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,BROMLEY GP ALLIANCE,32753692,30846.65
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,BELVEDERE MEDICAL CENTRE,32690166,30976.5
Department of Health,CCG,30/06/2020,Baseline Clinical&Medical?Independent Sector,MENTAL HEALTH SERVICES ? NOT CONTRACTED ACTIVITY,NELBRO GROUP,32681359,30991.01
Department of Health,CCG,30/06/2020,Clinical&Medical?Othe Public Sector,SAFEGUARDING,BEXLEY COUNCIL,32787991,31000
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,MANOR BROOK MEDICAL PRACTICE,32690198,31054.7
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,DR COUTINHO M J,32690176,31065.31
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,MORNINGTON SURGERY,32666211,31092.55
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,BALLATER,32768026,31260.87
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,DEERBROOK SURGERY,32666201,31312.94
Department of Health,CCG,30/06/2020,Hcare Srv Rec NHS Trust?Prior Year,NCAS/OATS,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,32764271,31426
Department of Health,CCG,30/06/2020,C&M?PMS Prem Healthcentre Rent,PRC DELEGATED CO?COMMISSIONING,NEXUS HEALTH GROUP,32690144,31500
Department of Health,CCG,30/06/2020,Hcare Srv Rec Fdtn Trust?Non Contract,ACUTE COMMISSIONING,KENT AND MEDWAY NHS AND SOCIALCARE PARTNERSHIP TRUST,32727097,31500
Department of Health,CCG,30/06/2020,C&M?GMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,STATION ROAD SURGERY WEST WICKHAM,32768111,31690.18
Department of Health,CCG,30/06/2020,C&M?GMS Global Sum,PRC DELEGATED CO?COMMISSIONING,ROBIN HOOD SURGERY,32753678,31718.35
Department of Health,CCG,30/06/2020,Computer Network Costs,GP FORWARD VIEW,ECONSULT HEALTH LTD,32608858,31812.98
Department of Health,CCG,30/06/2020,C&M?PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO?COMMISSIONING,NEXUS HEALTH GROUP,32690144,31934.7
Department of Health,CCG,30/06/2020,Clinical&Medical?Commercial Sector,MATERNITY SERVICES,MARIE STOPES INTERNATIONAL,32759306,31952.55
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,SUMMERCROFT SURGERY,32768119,31975.69
Department of Health,CCG,30/06/2020,Cont Care?Physical Disab (<65),CHC ADULT FULLY FUNDED,FAIRLIE HOUSE,32917812,31988.64
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector,MENTAL HEALTH SERVICES ? NOT CONTRACTED ACTIVITY,CYGNET HEALTHCARE LTD,32826147,32008
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,BIGGIN HILL SURGERY,32768035,32113.56
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,SYDENHAM GREEN GROUP PRACTICE,32690119,32184.41
Department of Health,CCG,30/06/2020,Service Charge,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,32869488,32208.77
Department of Health,CCG,30/06/2020,Service Charge,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,32869448,32216.92
Department of Health,CCG,30/06/2020,Hcare Srv Rec NHS Trust?Prior Year,NCAS/OATS,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,32855590,32263.56
Department of Health,CCG,30/06/2020,Clinical&Medical?Voluntary Sector,MENTAL HEALTH CONTRACTS,LONDON CYRENIANS HOUSING LTD,32748326,32306.8
Department of Health,CCG,30/06/2020,C&M?APMS DES Extended Hours Access,PRC DELEGATED CO?COMMISSIONING,BROMLEY GP ALLIANCE,32753692,32397.59
Department of Health,CCG,30/06/2020,C&M?GMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,SOUTH VIEW LODGE DR WILLATT HEATHCOTE,32768105,32458.28
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,WESTWOOD SURGERY,32690211,32508.59
Department of Health,CCG,30/06/2020,Hcare Srv Rec NHS Trust?Contract Baseline,ACUTE COMMISSIONING,DARTFORD AND GRAVESHAM NHS TRUST,32869472,32510.93
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,CATOR MEDICAL CENTRE,32768054,32552.69
Department of Health,CCG,30/06/2020,National Insurance < 1 yr?NI? ERS,BALANCE SHEET,HMRC,32768865,32709.42
Department of Health,CCG,30/06/2020,Hcare Srv Rec Fdtn Trust?Prior Year,NCAS/OATS,MEDWAY NHS FOUNDATION TRUST,32740432,32787.57
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,DR MCINTYRE & PARTNERS,32690180,32821.89
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,MODALITY PARTNERSHIP,32690155,32862.82
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,OAKFIELD SURGERY LONDON,32768146,32898.49
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,ELM HOUSE SURGERY,32768068,32901.38
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,PAXTON GREEN PRACTICE,32666216,32955.05
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,HURLEY CLINIC,32690161,33013.99
Department of Health,CCG,30/06/2020,Cont Care?Funded Nursing Care Allow,FUNDED NURSING CARE,MISSION CARE,32832627,33111.8
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,WOODLANDS PRACTICE,32768136,33123.44
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,NOVUM HEALTH PARTNERSHIP,32666224,33229.91
Department of Health,CCG,30/06/2020,C&M?GMS Global Sum,PRC DELEGATED CO?COMMISSIONING,INGELTON AVENUE,32820089,33384.15
Department of Health,CCG,30/06/2020,Clinical&Medical?Commercial Sector,MENTAL HEALTH SERVICES ? NOT CONTRACTED ACTIVITY,CYGNET HEALTHCARE LTD,32855715,33428.23
Department of Health,CCG,30/06/2020,C&M?APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,BROMLEY GP ALLIANCE,32753692,33514.77
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector,COMMUNITY SERVICES,BELLEGROVE ROAD SURGERY,32764453,33715.94
Department of Health,CCG,30/06/2020,Computer Network Costs,PRIMARY CARE IT,EXPONENTIAL?E LTD,32896914,33729.3
Department of Health,CCG,30/06/2020,External Data Contracts,CLINICAL ASSESSMENT AND TREATMENT CENTRES,EXPONENTIAL?E LTD,32742332,33733.32
Department of Health,CCG,30/06/2020,C&M?PMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,CLAPHAM FAMILY PRACTICE,32666198,33928.33
Department of Health,CCG,30/06/2020,Cont Care?Funded Nursing Care Allow,FUNDED NURSING CARE,BUPA CARE HOMES,32816427,34163.11
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,ALBION SURGERY,32668619,34173.57
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,CHISLEHURST MEDICAL PRACTICE,32768047,34333.77
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,WELLS PARK PRACTICE,32690134,34352.93
Department of Health,CCG,30/06/2020,C&M?PMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,SOUTHBROUGH LANE SURGERY,32768110,34431.25
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,AMERSHAM VALE TRAINING PRACTICE,32690001,34461.74
Department of Health,CCG,30/06/2020,Computer Software/License,CLINICAL ASSESSMENT AND TREATMENT CENTRES,EXPONENTIAL?E LTD,32896923,34499.99
Department of Health,CCG,30/06/2020,Clinical&Medical?Commercial Sector,PLANNED CARE,BARIATRIC CONSULTANCY,32948018,34500
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,DR M CHAND,32690178,34586.78
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,TRAFALGAR SURGERY,32690123,34670.71
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,DR J BAJWA & PARTNERS,32668628,34672.63
Department of Health,CCG,30/06/2020,Hcare Srv Rec Fdtn Trust?Non Contract,ACUTE COMMISSIONING,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,32727046,34700
Department of Health,CCG,30/06/2020,Hcare Srv Rec NHS Trust?Prior Year,NCAS/OATS,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,32778289,34803
Department of Health,CCG,30/06/2020,C&M?PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO?COMMISSIONING,MANOR BROOK MEDICAL PRACTICE,32690198,34826.06
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,WAVERLEY PRACTICE,32690212,35091.28
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,IVEAGH SURGERY,32690066,35121.46
Department of Health,CCG,30/06/2020,Cont Care?Learning Disab(<65),CHC ADULT FULLY FUNDED,DEVON & CORNWALL AUTISTIC COMMUNITY TRUST,32619840,35171.71
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,BRIDGES HEALTHCARE PDU LTD,32608776,35225
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,BRIDGES HEALTHCARE PDU LTD,32608820,35225
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector,COMMUNITY SERVICES,BRIDGES HEALTHCARE PDU LTD,32855678,35225
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,HURLEY CLINIC,32690069,35304.44
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,SANDMERE PRACTICE,32690102,35367.09
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector ? Prior Year,COMMISSIONING SCHEMES,IVEAGH SURGERY,32672783,35436
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,DR RATNESWAREN S,32690184,35453.43
Department of Health,CCG,30/06/2020,National Insurance < 1 yr?NI? ERS,BALANCE SHEET,HMRC,32768863,35680.36
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,PLUMSTEAD H C PMS,32690199,35963.33
Department of Health,CCG,30/06/2020,Hcare Srv Rec NHS Trust?Prior Year,NCAS/OATS,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,32759421,36014.48
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,VAUXHALL SURGERY,32690131,36142.6
Department of Health,CCG,30/06/2020,Service Charge,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,32896844,36277.04
Department of Health,CCG,30/06/2020,Clinical&Medical?Voluntary Sector,MENTAL HEALTH CONTRACTS,BROMLEY & LEWISHAM MIND,32748262,36282.75
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,QUEENS ROAD SURGERY LONDON,32690098,36416.36
Department of Health,CCG,30/06/2020,Hcare Srv Rec Fdtn Trust?Non Contract,ACUTE COMMISSIONING,EAST SUSSEX HEALTHCARE NHS TRUST,32727075,36600
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,NORTHWOOD GROUP PRACTICE,32690151,36768.56
Department of Health,CCG,30/06/2020,Cont Care?Funded Nursing Care Allow,FUNDED NURSING CARE,BONDCARE (LONDON) LTD BROOK HOUSE,32873871,36783.87
Department of Health,CCG,30/06/2020,National Insurance < 1 yr?NI? ERS,BALANCE SHEET,HMRC,32768855,36827.28
Department of Health,CCG,30/06/2020,Clinical&Medical?Commercial Sector,COMMUNITY SERVICES,VITA HEALTH SOLUTION LTD,32953936,36933
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,CLAPHAM FAMILY PRACTICE,32666198,37227.86
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,LONDON LANE CLINIC,32768098,37240.06
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,BEXLEY GROUP PRACTICE,32690170,37244.77
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,WELLING MEDICAL,32690213,37510.6
Department of Health,CCG,30/06/2020,Cont Care?Funded Nursing Care Allow,FUNDED NURSING CARE,BUPA CARE HOMES,32695883,37605.28
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,BANNOCKBURN SURGERY,32690168,37657.22
Department of Health,CCG,30/06/2020,C&M?GMS Global Sum,PRC DELEGATED CO?COMMISSIONING,WICKHAM PARK SURGERY,32753689,37749.49
Department of Health,CCG,30/06/2020,Cont Care?Funded Nursing Care Allow,FUNDED NURSING CARE,BUPA CARE HOMES,32816426,37802.14
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,HC?ONE OVAL LTD,32681339,37815.76
Department of Health,CCG,30/06/2020,National Insurance < 1 yr?NI? ERS,BALANCE SHEET,HMRC,32768857,37861.93
Department of Health,CCG,30/06/2020,C&M?APMS Contract Value,PRC DELEGATED CO?COMMISSIONING,STREATHAM HIGH PRACTICE,32690114,38117.75
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,BURSTED WOOD SURGERY,32690173,38120.17
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector,COMMUNITY SERVICES,GREENWICH HEALTH LTD,32608752,38250
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,SILVERLOCK,32690105,38263.06
Department of Health,CCG,30/06/2020,Cont Care?Funded Nursing Care Allow,FUNDED NURSING CARE,FOUR SEASONS HEALTH CARE LTD,32873879,38310.4
Department of Health,CCG,30/06/2020,Cont Care?Funded Nursing Care Allow,FUNDED NURSING CARE,BONDCARE (LONDON) LTD BROOK HOUSE,32727199,38344.81
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector,PRIMARY CARE DEVELOPMENT,BEXLEY HEALTH NEIGHBOURHOOD CARE CIC,32742858,38623
Department of Health,CCG,30/06/2020,C&M?PMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,HURLEY CLINIC,32690069,38680.66
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,BEXLEY MEDICAL GROUP,32690172,38702.74
Department of Health,CCG,30/06/2020,C&M?GMS Global Sum,PRC DELEGATED CO?COMMISSIONING,SUNDRIDGE MEDICAL CENTRE,32753684,38886.21
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,HERNE HILL GROUP PRACTICE,32690060,38943.43
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,NOVUM HEALTH PARTNERSHIP,32666224,38971.06
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,M THAVAPALAN & PARTNERS,32690189,39020.3
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,COLDHARBOURHILL PMS,32668624,39146.7
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,AT MEDICS LTD,32690146,39188.1
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,CLIFTON RISE PRACTICE,32690027,39328.06
Department of Health,CCG,30/06/2020,Cont Care?Funded Nursing Care Allow,FUNDED NURSING CARE,BRIGHTERKIND,32898121,39399.95
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,OAKVIEW FAMILY PRACTICE,32666214,39445.09
Department of Health,CCG,30/06/2020,Service Charge,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,32915240,39495.5
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector,COMMUNITY SERVICES,MILDMAY MISSION HOSPITAL UK,32739903,39671
Department of Health,CCG,30/06/2020,National Insurance < 1 yr?NI? ERS,BALANCE SHEET,HMRC,32768864,39798.46
Department of Health,CCG,30/06/2020,C&M?GMS Global Sum,PRC DELEGATED CO?COMMISSIONING,GRAFTON SQUARE SURGERY,32820065,39840
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,CLAPHAM PARK GROUP PRACTICE,32690018,39899.32
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,LISTER HEALTH CENTRE DR ARUMUGARAASAH & RATNESWAREN,32690075,39927.37
Department of Health,CCG,30/06/2020,Clinical&Medical?Independent Sector ? Prior Year,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,32953831,39946.51
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,VANBRUGH GROUP PRACTICE,32690220,40123.95
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,PENROSE SURGERY,32666217,40182.01
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,DR M CHAWDHERY TA 306 MED CNT,32690039,40216.39
Department of Health,CCG,30/06/2020,C&M?GMS Global Sum,PRC DELEGATED CO?COMMISSIONING,DERRY DOWNS SURGERY,32768062,40244.3
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,ALBION STREET HEALTH CENTRE,32690007,40356.53
Department of Health,CCG,30/06/2020,C&M?PMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,OLD KENT ROAD SURGERY,32690084,40440
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,EDITH CAVELL PRACTICE,32690045,40668.02
Department of Health,CCG,30/06/2020,C&M?GMS Global Sum,PRC DELEGATED CO?COMMISSIONING,SURGERY BECKENHAM,32768114,41037.59
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,DR DOHA,32690035,41050.99
Department of Health,CCG,30/06/2020,C&M?PMS QOF Aspiration,PRC DELEGATED CO?COMMISSIONING,VALENTINE HEALTH PARTNERSHIP,32690209,41359.72
Department of Health,CCG,30/06/2020,Cont Care? Prior Year Payments,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,32826422,41550.81
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,BELLEGROVE ROAD SURGERY,32690165,41621.88
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,MODALITY PARTNERSHIP,32690153,42096.42
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,MODALITY PARTNERSHIP,32690155,42136.39
Department of Health,CCG,30/06/2020,Computer Hardware Purch,PRIMARY CARE INVESTMENTS,INTOUCH WITH HEALTH LTD,32682987,42352
Department of Health,CCG,30/06/2020,ME ? PMS GP Prior Year ERs,PRC DELEGATED CO?COMMISSIONING,LISTER HEALTH CENTRE DR ARUMUGARAASAH & RATNESWAREN,32690075,42428.32
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,AKERMAN MEDICAL PRACTICE,32690005,42737.74
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,DR VIRJI & BEGLEY,32690043,42969.06
Department of Health,CCG,30/06/2020,Clinical&Medical?Othe Public Sector,MENTAL HEALTH SERVICES ? NOT CONTRACTED ACTIVITY,ROYAL BOROUGH OF GREENWICH,32777637,43000
Department of Health,CCG,30/06/2020,C&M?PMS Contract Value,PRC DELEGATED CO?COMMISSIONING,STREATHAM PLACE,32690142,43035.59
Department of Health,CCG,30/06/2020,C&M?PMS QOF Achievement,PRC DELEGATED CO?COMMISSIONING,LYNDHURST MEDICAL CENTRE,32690197,43093.86
Department of Health,CCG,30/06/2020,Computer Hardware Purch,PROGRAMME PROJECTS,DELL CORPORATION LTD,32901020,43750
Department of Health,CCG,30/06/2020,C&M?GMS Global Sum,PRC DELEGATED CO?COMMISSIONING,VALLEY ROAD SURGERY LONDON,32820053,44085.22
Department of Health,CCG,30/06/2020,C&M?PMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,PALACE ROAD SURGERY,32666215,44148
Department of Health,CCG,30/06/2020,Cont Care?Funded Nursing Care Allow,FUNDED NURSING CARE,FOUR SEASONS HEALTH CARE LTD,32727206,44162.17
Department of Health,CCG,30/06/2020,C&M?PMS PCO Other,PRC DELEGATED CO?COMMISSIONING,NEXUS HEALTH GROUP,32690144,44280
