Department,,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,33908458,"36,261.58"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,33908458,651.54
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,33908458,"2,567.50"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,33908458,"1,309.88"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,33908458,9.21
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,33908458,"3,030.71"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,MWH PRACTICE,33908460,301.66
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,33908460,"1,120.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,33908460,"2,054.27"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,33908460,"75,997.36"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,33908460,"1,884.80"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,33908460,"1,452.75"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,33908460,"1,933.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,33908460,770.36
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,33908460,41.45
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,33908460,"6,433.38"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,SUNRISE MEDICAL PRACTICE SOUTHALL,33908463,140
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SUNRISE MEDICAL PRACTICE SOUTHALL,33908463,"33,687.93"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SUNRISE MEDICAL PRACTICE SOUTHALL,33908463,606.62
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SUNRISE MEDICAL PRACTICE SOUTHALL,33908463,"2,300.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SUNRISE MEDICAL PRACTICE SOUTHALL,33908463,"3,511.39"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHISWICK FAMILY PRACTICE,33908468,765.05
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,33908468,"1,540.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,33908468,"3,864.41"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,33908468,"29,984.16"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,33908468,569.22
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,33908468,"1,450.83"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,33908468,977.21
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,33908468,62.18
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,33908468,"2,763.32"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HAMMOND ROAD PRACTICE,33908469,62.75
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,33908469,"1,260.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,33908469,807.03
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,33908469,"33,601.84"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,33908469,628.44
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,33908469,"1,983.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,33908469,"1,663.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,33908469,48.36
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,33908469,"3,193.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,33908471,"4,478.57"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,33908471,280
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,33908471,"6,360.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,33908471,"32,497.75"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,33908471,"2,230.02"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,WESTSEVEN GP,33908471,"4,633.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,33908471,600.52
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,33908471,"2,377.70"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,OLDFIELD FAMILY PRACTICE,33908477,773.94
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,OLDFIELD FAMILY PRACTICE,33908477,140
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,OLDFIELD FAMILY PRACTICE,33908477,161.41
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,OLDFIELD FAMILY PRACTICE,33908477,"34,488.17"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,OLDFIELD FAMILY PRACTICE,33908477,617.7
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,OLDFIELD FAMILY PRACTICE,33908477,"3,463.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,OLDFIELD FAMILY PRACTICE,33908477,"1,621.75"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,OLDFIELD FAMILY PRACTICE,33908477,29.94
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,OLDFIELD FAMILY PRACTICE,33908477,"3,012.80"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Over/ Under,GENERAL RESERVE - PROGRAMME,EAST AND NORTH HERTFORDSHIRE NHS TRUST,33913228,"-119,360.00"
,,,Performance,,,,
Department of Health,NHS Ealing CCG,30-Sep-20,Cont Care-Physical Disab (<65),CHC AD FULL FUND PERS HLTH BUD,CARE IN FINANCE LTD,33922604,"31,526.03"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SK GILL,33924230,"1,055.75"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,33924230,"44,242.70"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,33924230,"4,158.75"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,33924230,821.09
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,33924230,"3,830.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,33924230,"4,197.50"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,33924230,896.14
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,33924230,202.67
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,33924230,"4,280.35"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR PERINPANAYAGAM & PARTNERS,33924237,910.3
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,33924237,"4,732.92"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,33924237,560
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,33924237,"52,929.04"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,33924237,672.68
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,33924237,"2,356.67"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR PERINPANAYAGAM & PARTNERS,33924237,"4,896.13"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,33924237,966.01
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,33924237,"7,058.35"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,33924237,55.27
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,33924237,"4,553.47"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,33924241,420
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,33924241,"25,927.76"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,33924241,"2,850.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,33924241,467.27
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,33924241,"4,487.50"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,33924241,"2,602.67"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,33924241,"1,842.41"
Department of Health,NHS Ealing CCG,30-Sep-20,Clinical&Medical-Commercial Sector,PLANNED CARE,SPECSAVERS HEARCARE LTD,33926466,"25,398.00"
Department of Health,NHS Ealing CCG,30-Sep-20,Clinical&Medical-Commercial Sector,PLANNED CARE,PRACTICE SERVICES LTD (THE),33926506,"56,856.25"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973010,"83,827.64"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973011,"29,281.10"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973012,"29,281.10"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973013,"29,281.10"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973014,"29,281.10"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973015,"29,281.10"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973016,"30,522.64"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973017,"30,522.64"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973018,"29,491.28"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973019,"29,491.28"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973020,"29,491.28"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973021,"29,491.28"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973022,"29,363.31"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-CQUIN,GENERAL RESERVE - PROGRAMME,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33973029,456.63
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Over/ Under,GENERAL RESERVE - PROGRAMME,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33973029,"36,530.02"
Department of Health,NHS Ealing CCG,30-Sep-20,"Performance
Hcare Srv Rec Fdtn Trust-CQUIN",GENERAL RESERVE - PROGRAMME,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33973030,337.51
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Over/ Under,GENERAL RESERVE - PROGRAMME,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33973030,"27,000.58"
Department of Health,NHS Ealing CCG,30-Sep-20,"Performance
Hcare Srv Rec NHS Trust-Over/ Under",GENERAL RESERVE - PROGRAMME,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,33973031,"44,704.00"
Department of Health,NHS Ealing CCG,30-Sep-20,"Performance
Clinical&Medical-Commercial Sector",URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,33973039,"357,369.58"
Department of Health,NHS Ealing CCG,30-Sep-20,Recharge : Received,EQUALITY AND DIVERSITY,NHS CENTRAL LONDON (WESTMINSTER) CCG,33973044,"-35,755.72"
Department of Health,NHS Ealing CCG,30-Sep-20,Clinical&Medical-Clinical Other,GP FORWARD VIEW,HILLCREST SURGERY LONDON,33973046,"25,147.11"
Department of Health,NHS Ealing CCG,30-Sep-20,Clinical&Medical-Clinical Other,PRIMARY CARE DEVELOPMENT,HILLCREST SURGERY LONDON,33973048,"29,436.50"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973150,"-42,984.74"
Department of Health,NHS Ealing CCG,30-Sep-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,COMMUNITY HEALTH PARTNERSHIPS LTD,33973151,"-26,147.81"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Variation,GENERAL RESERVE - PROGRAMME,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,34027356,"97,006.00"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Variation,GENERAL RESERVE - PROGRAMME,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,34027415,"-97,006.00"
Department of Health,NHS Ealing CCG,30-Sep-20,Clinical&Medical-Othe Public Sector,GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF EALING,34056577,"54,309.00"
Department of Health,NHS Ealing CCG,30-Sep-20,Hlthcre-Foundation Trsts,COMMISSIONING SCHEMES,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,34067860,"-342,000.00"
