Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,Amount in Sterling
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50552) Qualified Nursing Staff,(id:41860) Integrated Therapies and Medicine,MSI GROUP LTD,id:13030954,472.9
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50200) Consultants,(id:41950) Cardiovascular Services,KINGS COLLEGE LONDON:03529700,id:12846901 ,22436.16
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(83410) Office Equipment,(id:42580) Security & Waste Services,RICOH UK LTD,id:13037500 ,1466.03
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82600) Uniforms & Clothing,(id:1634433) Dental Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194,259.44
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(21170) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,ITH PHARMA,id:13048954 ,1962.87
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82700) Uniforms & Clothing,(id:42470) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257,31.68
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:42419) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,132.35
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,LLOYDSPHARMACY CLINICAL HOMECARE,id:13026918    ,1354.72
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHCARE AT HOME LTD,id:13014351    ,2105.79
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(51862) Physiotherapists,(id:1885424) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13047774,6654.92
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:42367) Clinical Imaging & Med Physics,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,185.32
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:42366) Clinical Imaging & Med Physics,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257,1120.85
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82600) Uniforms & Clothing,(id:42485) Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941,39.05
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82600) Uniforms & Clothing,(id:42298) Cardiovascular Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194    ,5.29
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(32630) Other payables < 1 Yr,(id:40092) TRUST Balance Sheet Codes,HARINGEY COUNCIL,id:13019594  ,569.01
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:2356419) Evelina Medicine & Neonatology,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,1432.76
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHCARE AT HOME LTD,id:13030032    ,2147
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(83400) Office Equipment,(id:42958) Leasing,LIFECYCLE MANAGEMENT GROUP LTD,id:12929477 ,2400
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:42367) Clinical Imaging & Med Physics,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,135.54
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHCARE AT HOME LTD,id:13040226    ,1690.26
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:4621419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,549.77
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:3135419) PACCS,ANETIC AID LTD,id:13006252 ,3244.8
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(82600) Uniforms & Clothing,(id:42091) Specialist Ambulatory Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837  ,43.02
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82600) Uniforms & Clothing,(id:41894) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,22.94
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:42443) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,206.42
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:42325) Evelina Central,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936  ,263.48
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42935) Commercial,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,248.39
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41905) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217 ,361.04
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:42319) Evelina Central,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257,39.36
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82600) Uniforms & Clothing,(id:4621419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,209.59
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:42290) Cardiovascular Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,252.93
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:42935) Commercial,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,14.68
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82600) Uniforms & Clothing,(id:581409) Pharmacy,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,184.74
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83881) Building & Engineering,(id:492541) Essentia Infrastructure,G4S SECURE SOLUTIONS (UK) LTD,id:12969854    ,532.78
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:4621419) TAP,DELTA SURGICAL LTD,id:12982214    ,4758.08
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42486) Evelina Womens Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,45.36
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:42470) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936   ,84
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHCARE AT HOME LTD,id:13014456    ,600
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:41897) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,9.22
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(21130) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,BOEHRINGER INGELHEIM LTD,id:13022763  ,7200
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHCARE AT HOME LTD,id:13042339    ,563.42
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81400) Medical Surgical Supplies & Equipment,(id:41900) TAP,NHS SUPPLY CHAIN ( CAPITAL FUND ONLY),id:13012343  ,1723.28
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42221) Medical Specialties,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257,75.6
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(83610) IT Costs,(id:199405) STH Site Services,AUDIOLINK RADIO COMMUNICATIONS/AUDIOLINK LIMITED,id:12947174,2745.6
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(83880) Building & Engineering,(id:42416) Coronavirus [FCOVID],SOCOTEC UK LTD,id:13027302   ,2710
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(21130) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,ITH PHARMA,id:12992281 ,2182.68
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:42470) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217   ,153.71
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(50552) Qualified Nursing Staff,(id:2182419) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13017835,298.49
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50522) Unqualified Nursing Staff,(id:41935) PACCS,GLOBE LOCUMS LTD,id:13001029   ,246.41
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:42193) Specialist Ambulatory Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194,36.24
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50552) Qualified Nursing Staff,(id:590521) Integrated Local Services,NURSING 2000 LTD,id:13019815    ,695.4
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42348) Evelina Central,BAXTER HEALTHCARE LTD,id:13000994 ,222.05
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:4621419) TAP,INTEGRA NEUROSCIENCES LIMITED,id:13005884   ,231.34
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(82000) Provisions & Kitchens,(id:42722) Human Resources,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837,18.53
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:41860) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217 ,0.6
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:590521) Integrated Local Services,MSI GROUP LTD,id:13006234  ,839.41
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(81000) Surgical Appliances,(id:431409) Evelina Surgery Theatres & PICU,JOHN FLORENCE LTD,id:13053904 ,938.05
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:41952) Cardiovascular Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217    ,2191.14
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41863) PACCS,RESMED (UK) LTD,id:13028735  ,4800
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41919) PACCS,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194    ,188.22
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:41880) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257 ,90
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50552) Qualified Nursing Staff,(id:2182419) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13052197,208.53
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHCARE AT HOME LTD,id:13030027    ,5080
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:1634429) Dental Services,HENRY SCHEIN,id:13006449   ,620.38
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:42470) Surgical Oncology,CDP  PRINT MANAGEMENT,id:13040918   ,12.36
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42425) Transplant Renal and Urology,SQUADRON MEDICAL LTD,id:13052727    ,2009.76
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:42284) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941   ,66.04
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(21170) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,AAH PHARMACEUTICALS LTD,id:13016261   ,2689.3
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42465) Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,590.16
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,CENTRAL HOMECARE LTD,id:13016290 ,11736
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217   ,22.8
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:4621419) TAP,SQUADRON MEDICAL LTD,id:12959962  ,756.84
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(81400) Medical Surgical Supplies & Equipment,(id:42367) Clinical Imaging & Med Physics,NHS SUPPLY CHAIN ( CAPITAL FUND ONLY),id:13049137,14330
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHCARE AT HOME LTD,id:13044980    ,563.42
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:41914) Evelina Surgery Theatres & PICU,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,152.69
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42416) Coronavirus [FCOVID],WALTERS MEDICAL LTD,id:13024069   ,1476
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(83400) Office Equipment,(id:42735) IT / Digital Directorate,COMPUTACENTER UK LTD,id:13012815    ,814.78
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:41906) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,20.84
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41913) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217 ,1350.32
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:41874) Evelina Medicine & Neonatology,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194,0.76
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81400) Medical Surgical Supplies & Equipment,(id:41869) Integrated Therapies and Medicine,DRAEGER MEDICAL UK LTD,id:13017534  ,11904
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81900) Lab Equipment Purchase,(id:111406) Pathology SDU,VIAPATH ANALYTICS LLP,id:12894539  ,267579
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(53072) Speech Therapists,(id:590495) Integrated Local Services,PRICEWATERHOUSECOOPERS LLP,id:13047794,1327.84
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:42496) Evelina Womens Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936   ,20.09
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42416) Coronavirus [FCOVID],ARJO UK LIMITED,id:12978636  ,6220.8
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:360409) Business Development,CDP  PRINT MANAGEMENT,id:13040918    ,3.6
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHNET HOMECARE LTD,id:13014135    ,1494.86
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42465) Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217  ,335.42
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(83400) Office Equipment,(id:42416) Coronavirus [FCOVID],H C SLINGSBY PLC,id:13003776  ,671.52
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(21130) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,AAH PHARMACEUTICALS LTD,id:13016269   ,1152.53
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83881) Building & Engineering,(id:492533) Essentia Infrastructure,G4S SECURE SOLUTIONS (UK) LTD,id:12969854    ,532.78
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(83880) Building & Engineering,(id:42638) Essentia Infrastructure,STEVE MORGAN,id:13016673  ,4925
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHCARE AT HOME LTD,id:13039996    ,563.42
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590574) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936   ,14.85
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42159) Pharmacy,RGS LABELS,id:13038794    ,506.4
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:4622419) Evelina Surgery Theatres & PICU,TOTAL PROTECTION (UK) LTD,id:13053355    ,540
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42422) Transplant Renal and Urology,NXSTAGE MEDICAL UK LIMITED,id:12951903   ,729.72
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50570) Qualified Nursing Staff,(id:1232419) Cardiovascular Services,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,id:12841076  ,8347.99
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:42050) Specialist Ambulatory Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,22.58
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:590471) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,4.92
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:431409) Evelina Surgery Theatres & PICU,SQUADRON MEDICAL LTD,id:13021170,27.54
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:42323) Evelina Medicine & Neonatology,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217  ,4.91
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(84500) Establishment,(id:42160) Pharmacy,OFFICE DEPOT UK LTD,id:12989314    ,692.88
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(55082) Admin & Clerical,(id:653425) Department of Strategy,ALLEN LANE,id:13045542,2866.5
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHCARE AT HOME LTD,id:13016390    ,563.42
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(21170) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,AAH PHARMACEUTICALS LTD,id:13016259   ,1927.02
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:41864) PACCS,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,31.32
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(81215) Medical Surgical Supplies & Equipment,(id:42475) Surgical Oncology,ADVANCED BIONICS SARL (AND UK LTD),id:13053873 ,4680
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:42518) Evelina Womens Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,48.38
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:42465) Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,9.18
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82700) Uniforms & Clothing,(id:42419) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194    ,73.92
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50522) Unqualified Nursing Staff,(id:42482) Surgery,MSI GROUP LTD,id:13043606    ,255.97
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHCARE AT HOME LTD,id:13044949    ,563.42
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82600) Uniforms & Clothing,(id:41935) PACCS,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,37.7
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHCARE AT HOME LTD,id:13042424    ,2866.5
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:41928) PACCS,SQUADRON MEDICAL LTD,id:12970393  ,570.43
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50522) Unqualified Nursing Staff,(id:41881) Integrated Therapies and Medicine,MSI GROUP LTD,id:13043770   ,209.15
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:42442) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,70.73
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:642424) Information Governance and Management,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217 ,22.27
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50562) Qualified Nursing Staff,(id:41928) PACCS,PULSE HEALTHCARE LIMITED,id:13001082  ,429.52
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(50562) Qualified Nursing Staff,(id:41928) PACCS,JUST NURSES (NURSCO HEALTHCARE LIMITED),id:13018039  ,479.89
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(10090) Fixed Asset Clearing,(id:246417) TRUST Capital Cost Centres,AYERST ENVIRONMENTAL LTD,id:12979721   ,864
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81230) Medical Surgical Supplies & Equipment,(id:41928) PACCS,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,3314.33
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82600) Uniforms & Clothing,(id:41931) PACCS,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,21.06
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(21170) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,PHOENIX HEALTHCARE DISTRIBUTION LTD,id:13032258 ,521.04
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:42339) Evelina Surgery Theatres & PICU,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,309.76
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(50522) Unqualified Nursing Staff,(id:41880) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13018031,240.09
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(84200) Rental under Operating Lease,(id:492597) Essentia Community Services,ENTERPRISE RENT A CAR LTD,id:13012511   ,458.58
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:590586) Integrated Local Services,CDP  PRINT MANAGEMENT,id:13041994    ,3.6
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:1371419) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,4.92
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42366) Clinical Imaging & Med Physics,BAYER PLC,id:13000094   ,1008
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHCARE AT HOME LTD,id:13014457    ,563.42
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82600) Uniforms & Clothing,(id:42128) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217 ,35.04
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:41880) Integrated Therapies and Medicine,CDP  PRINT MANAGEMENT,id:13041994  ,86.9
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:803490) R&D : NIHR,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941   ,98.83
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42416) Coronavirus [FCOVID],SQUADRON MEDICAL LTD,id:12996603  ,2302.6
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(83410) Office Equipment,(id:42828) Chief Nurse,RICOH UK LTD,id:13037332,173.98
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590470) Integrated Local Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194   ,97.46
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81275) Medical Surgical Supplies & Equipment,(id:41878) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837 ,14.14
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:1634429) Dental Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837  ,20.88
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,POLAR SPEED DISTRIBUTION LTD,id:12997203   ,2529.69
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(21150) Inventories - Finished goods,(id:40092) TRUST Balance Sheet Codes,HEALTHCARE AT HOME LTD,id:13014214    ,686.83
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(82800) Bedding & Linen,(id:41859) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837   ,41.62
