query_string_n,verif_match
SOUTH GLOUCESTERSHIRE COUNCIL,SOUTH GLOUCESTERSHIRE COUNCIL
SOUTH GRANGE MEDICAL GROUP PRACTICE,SOUTH GRANGE MEDICAL GROUP PRACTICE
SOUTH HERMITAGE SURGERY,SOUTH HERMITAGE SURGERY
SOUTH LINCOLN HEALTHCARE LIMITED,SOUTH LINCOLN HEALTHCARE LIMITED
SOUTH LIVERPOOL CITIZENS ADVICE BUREAU,SOUTH LIVERPOOL CITIZENS ADVICE BUREAU
SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST
SOUTH LONDON NURSING HOMES LIMITED,SOUTH LONDON NURSING HOMES LIMITED
SOUTH MILFORD SURGERY,SOUTH MILFORD SURGERY
SOUTH NORFOLK HEALTHCARE COMMUNITY INTEREST COMPANY,SOUTH NORFOLK HEALTHCARE COMMUNITY INTEREST COMPANY
SOUTH PARK MEDICAL PRACTICE,SOUTH PARK MEDICAL PRACTICE
SOUTH SAXON HOUSE SURGERY,SOUTH SAXON HOUSE SURGERY
SOUTH SEFTON DEVELOPMENT TRUST,SOUTH SEFTON DEVELOPMENT TRUST
SOUTH STAFFORDSHIRE HEALTHCARE NHS FOUNDATION TRUST,SOUTH STAFFORDSHIRE HEALTHCARE NHS FOUNDATION TRUST
SOUTH STREET SURGERY,SOUTH STREET SURGERY
SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST
SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST
SOUTH TYNESIDE HEALTH COLLABORATION LIMITED,SOUTH TYNESIDE HEALTH COLLABORATION LIMITED
SOUTH TYNESIDE NHS FOUNDATION TRUST,SOUTH TYNESIDE NHS FOUNDATION TRUST
SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST
SOUTH WEST LONDON AND ST GEORGES MENTAL HEALTH NHS TRUST,SOUTH WEST LONDON AND ST GEORGES MENTAL HEALTH NHS TRUST
SOUTH WEST PENINSULA AHSN LIMITED,SOUTH WEST PENINSULA AHSN LIMITED
SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST
SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST
SOUTH WIGHT MEDICAL PRACTICE,SOUTH WIGHT MEDICAL PRACTICE
SOUTH YORKSHIRE EATING DISORDERS ASSOCIATION,SOUTH YORKSHIRE EATING DISORDERS ASSOCIATION
SOUTH YORKSHIRE HOUSING ASSOCIATION LIMITED,SOUTH YORKSHIRE HOUSING ASSOCIATION LIMITED
SOUTHAMPTON PRIMARY CARE LIMITED,SOUTHAMPTON PRIMARY CARE LIMITED
SOUTHBROOM SURGERY,SOUTHBROOM SURGERY
SOUTHCOTE CLINIC,SOUTHCOTE CLINIC
SOUTHDENE SURGERY,SOUTHDENE SURGERY
SOUTHDOWN HOUSING ASSOCIATION LIMITED,SOUTHDOWN HOUSING ASSOCIATION LIMITED
SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
SOUTHENDONSEA BOROUGH COUNCIL,SOUTHENDONSEA BOROUGH COUNCIL
SOUTHERN HEALTH NHS FOUNDATION TRUST,SOUTHERN HEALTH NHS FOUNDATION TRUST
SOUTHERNS OFFICE INTERIORS LIMITED,SOUTHERNS OFFICE INTERIORS LIMITED
SOUTHGATE ROAD MEDICAL CENTRE,SOUTHGATE ROAD MEDICAL CENTRE
SOUTHMEAD AND HENBURY FAMILY PRACTICE,SOUTHMEAD AND HENBURY FAMILY PRACTICE
SOUTHPORT AND FORMBY CANCER INFORMATION AND SUPPORT CENTRE COMMUNITY INTEREST COMPANY,SOUTHPORT AND FORMBY CANCER INFORMATION AND SUPPORT CENTRE COMMUNITY INTEREST COMPANY
SOUTHPORT AND FORMBY HEALTH LIMITED,SOUTHPORT AND FORMBY HEALTH LIMITED
SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST
SOUTHSIDE PARTNERSHIP,SOUTHSIDE PARTNERSHIP
SOUTHVIEW MEDICAL PRACTICE,SOUTHVIEW MEDICAL PRACTICE
SOUTHWELL MEDICAL CENTRE,SOUTHWELL MEDICAL CENTRE
SOVEREIGN MEDICAL CENTRE,SOVEREIGN MEDICAL CENTRE
SPA MEDICAL CENTRE,SPA MEDICAL CENTRE
SPACEOASIS LIMITED,SPACEOASIS LIMITED
SPACESCAPE LIMITED,SPACESCAPE LIMITED
SPAMEDICA LIMITED,SPAMEDICA LIMITED
SPECIALIST COMPUTER CENTRES PUBLIC LIMITED COMPANY,SPECIALIST COMPUTER CENTRES PUBLIC LIMITED COMPANY
SPECSAVERS HEARCARE LIMITED,SPECSAVERS HEARCARE LIMITED
SPECTRUM COMMUNITY HEALTH COMMUNITY INTEREST COMPANY,SPECTRUM COMMUNITY HEALTH COMMUNITY INTEREST COMPANY
SPEECH HOUSE LIMITED,SPEECH HOUSE LIMITED
SPIRIT HEALTHCARE LIMITED,SPIRIT HEALTHCARE LIMITED
SPK FINANCIAL SOLUTIONS LIMITED,SPK FINANCIAL SOLUTIONS LIMITED
SPRING VIEW MEDICAL CENTRE,SPRING VIEW MEDICAL CENTRE
SPRINGBANK SURGERY,SPRINGBANK SURGERY
SPRINGCARE DAVENHAM LIMITED,SPRINGCARE DAVENHAM LIMITED
SPRINGFENISCO HEALTHLINK,SPRINGFENISCO HEALTHLINK
SPRINGFIELD HEALTHCARE THE CHOCOLATE WORKS LIMITED,SPRINGFIELD HEALTHCARE THE CHOCOLATE WORKS LIMITED
SPRINGFIELD HOSPITAL,SPRINGFIELD HOSPITAL
SPRINGFIELD MEDICAL CENTRE,SPRINGFIELD MEDICAL CENTRE
SPRINGWOOD SURGERY,SPRINGWOOD SURGERY
SPV4 LIMITED,SPV4 LIMITED
SQW LIMITED,SQW LIMITED
SRCL LIMITED,SRCL LIMITED
SSENTIF LIMITED,SSENTIF LIMITED
ST AGNES SURGERY,ST AGNES SURGERY
ST ALBANS SURGERY,ST ALBANS SURGERY
ST ANDREWS HEALTH CENTRE,ST ANDREWS HEALTH CENTRE
ST ANDREWS HEALTHCARE,ST ANDREWS HEALTHCARE
ST ANDREWS HOSPICE,ST ANDREWS HOSPICE
ST ANDREWS HOUSE,ST ANDREWS HOUSE
ST ANDREWS MEDICAL CENTRE,ST ANDREWS MEDICAL CENTRE
ST ANDREWS MEDICAL PRACTICE,ST ANDREWS MEDICAL PRACTICE
ST ANDREWS SURGERY,ST ANDREWS SURGERY
ST ANNES COMMUNITY SERVICES,ST ANNES COMMUNITY SERVICES
ST ANNS HOSPICE,ST ANNS HOSPICE
ST BARNABAS HOSPICE,ST BARNABAS HOSPICE
ST BARNABAS HOSPICE TRUST,ST BARNABAS HOSPICE TRUST
ST BARTHOLOMEWS SURGERY,ST BARTHOLOMEWS SURGERY
ST CATHERINES HOSPICE,ST CATHERINES HOSPICE
ST CATHERINES SURGERY,ST CATHERINES SURGERY
ST CHRISTOPHERS HOSPICE,ST CHRISTOPHERS HOSPICE
ST CHRISTOPHERS PERSONAL CARE SERVICES LIMITED,ST CHRISTOPHERS PERSONAL CARE SERVICES LIMITED
ST CLARE HOSPICE TRUST,ST CLARE HOSPICE TRUST
ST CUTHBERTS CARE,ST CUTHBERTS CARE
ST CUTHBERTS HOSPICE,ST CUTHBERTS HOSPICE
ST DAVIDS FAMILY PRACTICE,ST DAVIDS FAMILY PRACTICE
ST ELIZABETHS CENTRE,ST ELIZABETHS CENTRE
ST GEORGE HEALTHCARE GROUP LIMITED,ST GEORGE HEALTHCARE GROUP LIMITED
ST GEORGE HEALTHCARE LIMITED,ST GEORGE HEALTHCARE LIMITED
ST GEORGE SURGICAL SERVICES LIMITED,ST GEORGE SURGICAL SERVICES LIMITED
ST GEORGES DAY CENTRE BOLTON LIMITED,ST GEORGES DAY CENTRE BOLTON LIMITED
ST GEORGES MEDICAL CENTRE,ST GEORGES MEDICAL CENTRE
ST GEORGES MEDICAL PRACTICE,ST GEORGES MEDICAL PRACTICE
ST GEORGES RETREAT,ST GEORGES RETREAT
ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
ST GEORGES WIGAN LIMITED,ST GEORGES WIGAN LIMITED
ST GILES HOSPICE,ST GILES HOSPICE
ST HELENS MEDICAL CENTRE,ST HELENS MEDICAL CENTRE
ST JAMES MEDICAL PRACTICE LIMITED,ST JAMES MEDICAL PRACTICE LIMITED
ST JAMES PRACTICE,ST JAMES PRACTICE
ST JAMES SURGERY,ST JAMES SURGERY
ST JOHNS FAMILY PRACTICE,ST JOHNS FAMILY PRACTICE
ST JOHNS HOSPICE,ST JOHNS HOSPICE
ST JOHNS NURSING HOME LIMITED,ST JOHNS NURSING HOME LIMITED
ST JOHNS WOOD MEDICAL PRACTICE,ST JOHNS WOOD MEDICAL PRACTICE
ST JOSEPHS,ST JOSEPHS
ST JOSEPHS FAMILY CENTRE,ST JOSEPHS FAMILY CENTRE
ST JOSEPHS HOSPICE,ST JOSEPHS HOSPICE
ST JOSEPHS HOSPICE ASSOCIATION,ST JOSEPHS HOSPICE ASSOCIATION
ST JOSEPHS HOSPICE HACKNEY,ST JOSEPHS HOSPICE HACKNEY
ST KATHERINES SURGERY,ST KATHERINES SURGERY
ST KEVERNE HEALTH CENTRE,ST KEVERNE HEALTH CENTRE
ST LAWRENCE SURGERY,ST LAWRENCE SURGERY
ST LUKES CHESHIRE HOSPICE,ST LUKES CHESHIRE HOSPICE
ST LUKES HEALTH CENTRE,ST LUKES HEALTH CENTRE
ST LUKES HOSPICE,ST LUKES HOSPICE
ST LUKES HOSPICE PLYMOUTH,ST LUKES HOSPICE PLYMOUTH
ST MAGNUS HOUSE LIMITED,ST MAGNUS HOUSE LIMITED
ST MARGARETS MEDICAL PRACTICE,ST MARGARETS MEDICAL PRACTICE
ST MARKS MEDICAL CENTRE,ST MARKS MEDICAL CENTRE
ST MARTINS MEDICAL CENTRE,ST MARTINS MEDICAL CENTRE
ST MARY STREET SURGERY,ST MARY STREET SURGERY
ST MARYS CONTINUING CARE LIMITED,ST MARYS CONTINUING CARE LIMITED
ST MARYS HEALTH CENTRE,ST MARYS HEALTH CENTRE
ST MATTHEWS LIMITED,ST MATTHEWS LIMITED
ST MELOR HOUSE SURGERY,ST MELOR HOUSE SURGERY
ST MICHAELS CLINIC LIMITED,ST MICHAELS CLINIC LIMITED
ST MICHAELS HOSPICE,ST MICHAELS HOSPICE
ST MONICA TRUST,ST MONICA TRUST
ST MUNGOS,ST MUNGOS
ST PETERS HOSPICE,ST PETERS HOSPICE
ST PETERS MEDICAL PRACTICE,ST PETERS MEDICAL PRACTICE
ST PHILIPS CARE CALEDONIA LIMITED,ST PHILIPS CARE CALEDONIA LIMITED
ST PHILIPS MEDICAL CENTRE,ST PHILIPS MEDICAL CENTRE
ST RAPHAELS HOSPICE,ST RAPHAELS HOSPICE
ST RAPHAELS NURSING HOME,ST RAPHAELS NURSING HOME
ST RICHARDS HOSPICE,ST RICHARDS HOSPICE
ST ROCCOS HOSPICE,ST ROCCOS HOSPICE
ST TERESAS HOSPICE,ST TERESAS HOSPICE
ST VINCENT CARE HOMES LIMITED,ST VINCENT CARE HOMES LIMITED
ST VINCENTS HEALTH AND PUBLIC SECTOR CONSULTING LIMITED,ST VINCENTS HEALTH AND PUBLIC SECTOR CONSULTING LIMITED
ST WILFRIDS HOSPICE,ST WILFRIDS HOSPICE
STABLE FOLD SURGERY,STABLE FOLD SURGERY
STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST
STAFFORDSHIRE COUNTY COUNCIL,STAFFORDSHIRE COUNTY COUNCIL
STAFFORDSHIRE DOCTORS URGENT CARE LIMITED,STAFFORDSHIRE DOCTORS URGENT CARE LIMITED
STAHFED LIMITED,STAHFED LIMITED
STAHMIS LIMITED,STAHMIS LIMITED
STAITHES SURGERY,STAITHES SURGERY
STAMFORD HILL GROUP PRACTICE,STAMFORD HILL GROUP PRACTICE
STAMFORD HOUSE,STAMFORD HOUSE
STANDISH MEDICAL PRACTICE,STANDISH MEDICAL PRACTICE
STANDOUT MEDIA LIMITED,STANDOUT MEDIA LIMITED
STANFORD MEDICAL CENTRE,STANFORD MEDICAL CENTRE
STANHOPE SURGERY,STANHOPE SURGERY
STANLEY COURT SURGERY,STANLEY COURT SURGERY
STANLEY MEDICAL GROUP,STANLEY MEDICAL GROUP
STANMORE HOUSE SURGERY,STANMORE HOUSE SURGERY
STANMORE MEDICAL GROUP,STANMORE MEDICAL GROUP
STANNINGTON MEDICAL CENTRE,STANNINGTON MEDICAL CENTRE
STANSTED SURGERY,STANSTED SURGERY
STANTON SURGERY,STANTON SURGERY
STANWELL ROAD SURGERY,STANWELL ROAD SURGERY
STAPENHILL MEDICAL CENTRE,STAPENHILL MEDICAL CENTRE
STAR BEREAVEMENT AND SUPPORT SERVICE LIMITED,STAR BEREAVEMENT AND SUPPORT SERVICE LIMITED
STAR LANE MEDICAL CENTRE,STAR LANE MEDICAL CENTRE
START IN SALFORD,START IN SALFORD
STATION DRIVE SURGERY,STATION DRIVE SURGERY
STATION HOUSE SURGERY,STATION HOUSE SURGERY
STATION VIEW MEDICAL CENTRE,STATION VIEW MEDICAL CENTRE
STAVELEIGH MEDICAL CENTRE,STAVELEIGH MEDICAL CENTRE
STENHOUSE MEDICAL CENTRE,STENHOUSE MEDICAL CENTRE
STENNACK SURGERY,STENNACK SURGERY
STEPPING STONE PRACTICE,STEPPING STONE PRACTICE
STEVENAGE HEALTH LIMITED,STEVENAGE HEALTH LIMITED
STEYNING HEALTH CENTRE,STEYNING HEALTH CENTRE
STFOUR LIMITED,STFOUR LIMITED
STHREE PARTNERSHIP LIMITED LIABILITY PARTNERSHIP,STHREE PARTNERSHIP LIMITED LIABILITY PARTNERSHIP
STICKNEY SURGERY,STICKNEY SURGERY
STILLINGTON SURGERY,STILLINGTON SURGERY
STILLMOOR HOUSE MEDICAL PRACTICE,STILLMOOR HOUSE MEDICAL PRACTICE
STIRCHLEY MEDICAL PRACTICE,STIRCHLEY MEDICAL PRACTICE
STO HEALTHCARE LIMITED,STO HEALTHCARE LIMITED
STOCKPORT NHS FOUNDATION TRUST,STOCKPORT NHS FOUNDATION TRUST
STOCKS HALL CARE HOMES LIMITED,STOCKS HALL CARE HOMES LIMITED
STOCKTON NHS HEALTH CARE CENTRE,STOCKTON NHS HEALTH CARE CENTRE
STOCKTONONTEES BOROUGH COUNCIL,STOCKTONONTEES BOROUGH COUNCIL
STOCKWELL GROUP PRACTICE,STOCKWELL GROUP PRACTICE
STOCKWOOD MEDICAL CENTRE,STOCKWOOD MEDICAL CENTRE
STOKE GIFFORD MEDICAL CENTRE,STOKE GIFFORD MEDICAL CENTRE
STONEBRIDGE SURGERY,STONEBRIDGE SURGERY
STONECOT SURGERY,STONECOT SURGERY
STONECROFT MEDICAL CENTRE,STONECROFT MEDICAL CENTRE
STONY MEDICAL CENTRE,STONY MEDICAL CENTRE
STORM CREATIVE MEDIA LIMITED,STORM CREATIVE MEDIA LIMITED
STOURSIDE MEDICAL PRACTICE,STOURSIDE MEDICAL PRACTICE
STRAND MEDICAL GROUP,STRAND MEDICAL GROUP
STRATA HEALTH LIMITED,STRATA HEALTH LIMITED
STRATEGIC HEALTHCARE PLANNING LIMITED LIABILITY PARTNERSHIP,STRATEGIC HEALTHCARE PLANNING LIMITED LIABILITY PARTNERSHIP
STRATFORD HEALTH CENTRE,STRATFORD HEALTH CENTRE
STRAWBERRY HILL MEDICAL CENTRE,STRAWBERRY HILL MEDICAL CENTRE
STREAMSIDE SURGERY,STREAMSIDE SURGERY
STREATHAM COMMON GROUP PRACTICE,STREATHAM COMMON GROUP PRACTICE
STREATHAM HIGH PRACTICE,STREATHAM HIGH PRACTICE
STRETTON MEDICAL CENTRE,STRETTON MEDICAL CENTRE
STROKE ASSOCIATION,STROKE ASSOCIATION
STROUD DISTRICT COUNCIL,STROUD DISTRICT COUNCIL
STROUD PRACTICE,STROUD PRACTICE
STROUD VALLEYS FAMILY PRACTICE,STROUD VALLEYS FAMILY PRACTICE
STROUTS PLACE MEDICAL CENTRE,STROUTS PLACE MEDICAL CENTRE
STRYKER UK LIMITED,STRYKER UK LIMITED
STUART CRESCENT HEALTH CENTRE,STUART CRESCENT HEALTH CENTRE
STUBBINGTON MEDICAL PRACTICE,STUBBINGTON MEDICAL PRACTICE
STUDENT HEALTH SERVICE,STUDENT HEALTH SERVICE
STUDHOLME MEDICAL CENTRE,STUDHOLME MEDICAL CENTRE
SUBSTRAKT HEALTH LIMITED,SUBSTRAKT HEALTH LIMITED
SUE RYDER,SUE RYDER
SUE RYDER CARE,SUE RYDER CARE
SUFFOLK COUNTY COUNCIL,SUFFOLK COUNTY COUNCIL
SUFFOLK GP FEDERATION COMMUNITY INTEREST COMPANY,SUFFOLK GP FEDERATION COMMUNITY INTEREST COMPANY
SUGARMAN HEALTH AND WELLBEING LIMITED,SUGARMAN HEALTH AND WELLBEING LIMITED
SUMMERCROFT SURGERY,SUMMERCROFT SURGERY
SUN HEALTHCARE LIMITED,SUN HEALTHCARE LIMITED
SUNBURY NURSING HOMES LIMITED,SUNBURY NURSING HOMES LIMITED
SUNDERLAND CITY COUNCIL,SUNDERLAND CITY COUNCIL
SUNDRIDGE DEVELOPMENTS LIMITED,SUNDRIDGE DEVELOPMENTS LIMITED
SUNDRIDGE MEDICAL CENTRE,SUNDRIDGE MEDICAL CENTRE
SUNFLOWERS,SUNFLOWERS
SUNRISE OPERATIONS SOLIHULL LIMITED,SUNRISE OPERATIONS SOLIHULL LIMITED
SUPERIOR CARE LIMITED,SUPERIOR CARE LIMITED
SUPPLY CHAIN COORDINATION LIMITED,SUPPLY CHAIN COORDINATION LIMITED
SUPPORT 2 INDEPENDENCE,SUPPORT 2 INDEPENDENCE
SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST
SURREY AND SUSSEX HEALTHCARE NHS TRUST,SURREY AND SUSSEX HEALTHCARE NHS TRUST
SURREY CARE ASSOCIATION LIMITED,SURREY CARE ASSOCIATION LIMITED
SURREY COUNTY COUNCIL,SURREY COUNTY COUNCIL
SURREY HEALTHY CHILDREN AND FAMILIES LIMITED LIABILITY PARTNERSHIP,SURREY HEALTHY CHILDREN AND FAMILIES LIMITED LIABILITY PARTNERSHIP
SURREY HEATH COMMUNITY PROVIDERS LIMITED,SURREY HEATH COMMUNITY PROVIDERS LIMITED
SURREY INDEPENDENT LIVING COUNCIL,SURREY INDEPENDENT LIVING COUNCIL
SURREY MEDICAL NETWORK LIMITED,SURREY MEDICAL NETWORK LIMITED
SURREY REST HOMES LIMITED,SURREY REST HOMES LIMITED
SURREY ULTRASOUND SERVICES LIMITED,SURREY ULTRASOUND SERVICES LIMITED
SUSSEX BEACON,SUSSEX BEACON
SUSSEX COMMUNITY DERMATOLOGY SERVICE,SUSSEX COMMUNITY DERMATOLOGY SERVICE
SUSSEX COMMUNITY NHS FOUNDATION TRUST,SUSSEX COMMUNITY NHS FOUNDATION TRUST
SUSSEX HEALTH CARE AUDIOLOGY LIMITED,SUSSEX HEALTH CARE AUDIOLOGY LIMITED
SUSSEX MEDICAL CHAMBERS,SUSSEX MEDICAL CHAMBERS
SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST
SUTTON HILL MEDICAL PRACTICE,SUTTON HILL MEDICAL PRACTICE
SUTTON IN THE ELMS CARE LIMITED,SUTTON IN THE ELMS CARE LIMITED
SWALLOWCOURT LIMITED,SWALLOWCOURT LIMITED
SWALLOWFIELD MEDICAL PRACTICE,SWALLOWFIELD MEDICAL PRACTICE
SWAN ADVOCACY NETWORK,SWAN ADVOCACY NETWORK
SWAN LANE MEDICAL CENTRE,SWAN LANE MEDICAL CENTRE
SWAN PARTNERS LIMITED,SWAN PARTNERS LIMITED
SWAN SURGERY,SWAN SURGERY
SWAN WOMENS CENTRE,SWAN WOMENS CENTRE
SWANLAND PHYSIO LIMITED,SWANLAND PHYSIO LIMITED
SWANLOW MEDICAL CENTRE,SWANLOW MEDICAL CENTRE
SWANTON CARE AND COMMUNITY LIMITED,SWANTON CARE AND COMMUNITY LIMITED
SWISS COTTAGE SURGERY,SWISS COTTAGE SURGERY
SYDENHAM HOUSE MEDICAL CENTRE,SYDENHAM HOUSE MEDICAL CENTRE
SYDENHAM HOUSE SURGERY,SYDENHAM HOUSE SURGERY
SYNAPSIS HEALTHCARE CONSULTING LIMITED,SYNAPSIS HEALTHCARE CONSULTING LIMITED
SYSTEM C HEALTHCARE LIMITED,SYSTEM C HEALTHCARE LIMITED
TADCASTER MEDICAL CENTRE,TADCASTER MEDICAL CENTRE
TALBOT MEDICAL CENTRE,TALBOT MEDICAL CENTRE
TALKWIRE LIMITED,TALKWIRE LIMITED
TALLEY GROUP LIMITED,TALLEY GROUP LIMITED
TAMAR VALLEY HEALTH,TAMAR VALLEY HEALTH
TAMARIND STRATEGY AND COMMUNICATIONS LIMITED,TAMARIND STRATEGY AND COMMUNICATIONS LIMITED
TAME VALLEY MEDICAL CENTRE,TAME VALLEY MEDICAL CENTRE
TAMEHAVEN LIMITED,TAMEHAVEN LIMITED
TAMESIDE METROPOLITAN BOROUGH COUNCIL,TAMESIDE METROPOLITAN BOROUGH COUNCIL
TAMESIDE OLDHAM AND GLOSSOP MIND,TAMESIDE OLDHAM AND GLOSSOP MIND
TANGMERE MEDICAL CENTRE,TANGMERE MEDICAL CENTRE
TAPESTRY INNOVATION LIMITED,TAPESTRY INNOVATION LIMITED
TAPTON CARE LIMITED,TAPTON CARE LIMITED
TARA HUMPHREY CONSULTING LIMITED,TARA HUMPHREY CONSULTING LIMITED
TARBOCK MEDICAL CENTRE,TARBOCK MEDICAL CENTRE
TARLETON GROUP PRACTICE,TARLETON GROUP PRACTICE
TARPORLEY HEALTH CENTRE,TARPORLEY HEALTH CENTRE
TARPORLEY WAR MEMORIAL HOSPITAL TRUST,TARPORLEY WAR MEMORIAL HOSPITAL TRUST
TASBURGH LODGE SURGERY,TASBURGH LODGE SURGERY
TAUNTON AND SOMERSET NHS FOUNDATION TRUST,TAUNTON AND SOMERSET NHS FOUNDATION TRUST
TAURUS HEALTHCARE LIMITED,TAURUS HEALTHCARE LIMITED
TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST
TCR NOTTINGHAM LIMITED,TCR NOTTINGHAM LIMITED
TEAL FURNITURE LIMITED,TEAL FURNITURE LIMITED
TEAMULTRA LIMITED,TEAMULTRA LIMITED
TEASDALE HEALTHCARE LIMITED,TEASDALE HEALTHCARE LIMITED
TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST
TEES VALLEY HOSPITAL,TEES VALLEY HOSPITAL
TEESSIDE HOSPICE CARE FOUNDATION,TEESSIDE HOSPICE CARE FOUNDATION
TELDOC,TELDOC
TELEFONICA O2 UK LIMITED,TELEFONICA O2 UK LIMITED
TELFORD AND WREKIN CVS,TELFORD AND WREKIN CVS
TEMPLE FORTUNE MEDICAL GROUP,TEMPLE FORTUNE MEDICAL GROUP
TEMPLE SOWERBY MEDICAL PRACTICE,TEMPLE SOWERBY MEDICAL PRACTICE
TENDRING DISTRICT COUNCIL,TENDRING DISTRICT COUNCIL
TENNANT STREET MEDICAL PRACTICE,TENNANT STREET MEDICAL PRACTICE
TERAPIA,TERAPIA
TERRINGTON SURGERY,TERRINGTON SURGERY
TFS HEALTHCARE LIMITED,TFS HEALTHCARE LIMITED
THAMES AMBULANCE SERVICE LIMITED,THAMES AMBULANCE SERVICE LIMITED
THAMES REACH,THAMES REACH
THANET HEALTH COMMUNITY INTEREST COMPANY,THANET HEALTH COMMUNITY INTEREST COMPANY
THANET ROAD SURGERY,THANET ROAD SURGERY
THE CALVERTON PRACTICE,THE CALVERTON PRACTICE
THE CHRISTIE NHS FOUNDATION TRUST,THE CHRISTIE NHS FOUNDATION TRUST
THE DAVID LEWIS CENTRE,THE DAVID LEWIS CENTRE
THE GAMSTON MEDICAL CTR,THE GAMSTON MEDICAL CTR
THE LINDEN MEDICAL GROUP,THE LINDEN MEDICAL GROUP
THE OAKS MEDICAL CENTRE,THE OAKS MEDICAL CENTRE
THE RUDDINGTON MED CENTRE,THE RUDDINGTON MED CENTRE
THEALE MEDICAL CENTRE,THEALE MEDICAL CENTRE
THEATRE ROYAL SURGERY,THEATRE ROYAL SURGERY
THERA EAST,THERA EAST
THOMAS OWEN CARE LIMITED,THOMAS OWEN CARE LIMITED
THORNABY AND BARWICK MEDICAL GROUP,THORNABY AND BARWICK MEDICAL GROUP
THORNS ROAD SURGERY,THORNS ROAD SURGERY
THORNTON LODGE CARE LIMITED,THORNTON LODGE CARE LIMITED
THREADNEEDLE UK PROPERTY AUTHORISED INVESTMENT FUND,THREADNEEDLE UK PROPERTY AUTHORISED INVESTMENT FUND
THREE CHEQUERS MEDICAL PRACTICE,THREE CHEQUERS MEDICAL PRACTICE
THREE SHIRES MEDICAL PRACTICE,THREE SHIRES MEDICAL PRACTICE
THREE VILLAGES MEDICAL PRACTICE,THREE VILLAGES MEDICAL PRACTICE
THURROCK MIND,THURROCK MIND
TIBBS DEMENTIA FOUNDATION,TIBBS DEMENTIA FOUNDATION
TILEHURST SURGERY PARTNERSHIP,TILEHURST SURGERY PARTNERSHIP
TILEHURST VILLAGE SURGERY,TILEHURST VILLAGE SURGERY
TINKERS LANE SURGERY,TINKERS LANE SURGERY
TISBURY SURGERY,TISBURY SURGERY
TITLEWORTH NEURO LIMITED,TITLEWORTH NEURO LIMITED
TMC SUPPORT SERVICES LIMITED,TMC SUPPORT SERVICES LIMITED
TMI SYSTEMS LIMITED,TMI SYSTEMS LIMITED
TODMORDEN GROUP PRACTICE,TODMORDEN GROUP PRACTICE
TOFTWOOD MEDICAL CENTRE,TOFTWOOD MEDICAL CENTRE
TOGETHER CREATIVE COLLABORATION LIMITED,TOGETHER CREATIVE COLLABORATION LIMITED
TOGETHER FOR MENTAL WELLBEING,TOGETHER FOR MENTAL WELLBEING
TOLLERTON SURGERY,TOLLERTON SURGERY
TOLLGATE LODGE PRACTICE,TOLLGATE LODGE PRACTICE
TOLLGATE MEDICAL CENTRE,TOLLGATE MEDICAL CENTRE
TOLSEY SURGERY,TOLSEY SURGERY
TOM HARRISON HOUSE,TOM HARRISON HOUSE
TONBRIDGE AND MALLING BOROUGH COUNCIL,TONBRIDGE AND MALLING BOROUGH COUNCIL
TONBRIDGE MEDICAL GROUP,TONBRIDGE MEDICAL GROUP
TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST
TORCARE LIMITED,TORCARE LIMITED
TORRINGTON PARK GROUP PRACTICE,TORRINGTON PARK GROUP PRACTICE
TOTAL COMMUNITY CARE LIMITED,TOTAL COMMUNITY CARE LIMITED
