Dept Family,Organisation Name,Accounting Year,Period,Dater,Transaction Number,Supplier,VAT Registration Number,Expense Area,Expense type,Amount
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1431404,Hsl (Fm) Llp,204055358,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"696,706.26"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1431547,Hsl (Analytics) Llp,223219932,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"660,427.33"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1431548,Hsl (Analytics) Llp,223219932,Rf:General Pathology,Pathology Tests Joint Venture,"938,348.49"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1449297,Hsl (Analytics) Llp,223219932,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"660,427.33"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1449309,Hsl (Analytics) Llp,223219932,Rf:General Pathology,Pathology Tests Joint Venture,"938,348.49"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1449310,Hsl (Fm) Llp,204055358,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"696,706.26"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1449311,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"1,341,764.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1467473,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"1,341,764.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1467474,Hsl (Fm) Llp,204055358,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"696,706.26"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1467475,Hsl (Analytics) Llp,223219932,Rf:General Pathology,Pathology Tests Joint Venture,"938,348.49"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1467476,Hsl (Analytics) Llp,223219932,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"660,427.33"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1487774,Hsl (Analytics) Llp,223219932,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"660,427.33"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1487779,Hsl (Analytics) Llp,223219932,Rf:General Pathology,Pathology Tests Joint Venture,"938,348.49"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1487781,Hsl (Fm) Llp,204055358,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"696,706.26"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,03/09/2020,1488755,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"1,341,764.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1329314,"Barnet, Enfield & Haringey Mh Nhs Trust",654408435,Rf:Paedriatrics - Camhs,Specialist Nurse Band 8a,"29,904.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1415582,Supply Chain Coordination Ltd (Capital),290885854,Bh:Radiology,Radiology Maint Contracts,"25,411.54"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1470043,Atalian Servest Security Limited,,Rf:Rfh Facilities Management,Other Non-Clinical Services,"31,131.43"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1478063,Nhs Shared Business Services Ltd,848137212,Tw:Payroll,Other Non-Clinical Services,"54,864.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1479931,Rfl Property Services Limited,,Rf:Ih Catering Restaurant,Ic Ih Catering Retail,"216,723.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1481662,Rfl Property Services Limited,,Rf:Ih Catering Patients,Ic Ih Catering Patients,"220,807.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1484940,Cfes Limited,876320218,Cd:Decontamination Services,Estates Services Contracts,"422,397.97"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1488394,Philips Healthcare (Surrey),407850060,Tw:Patient Systems,Other Non-Clinical Supplies,"68,358.32"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1488723,Logan Construction (Se) Ltd,674915890,Rf:Nucmed Enabling Works,Consultancy Fees,"197,880.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1492751,Edf Energy Customers Plc,523041202,Rf:Energy,Electricity,"165,641.11"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1493455,Nhs Shared Business Services Ltd,848137212,Tw:Payroll,Other Non-Clinical Services,"54,864.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1493559,Sharpsmart Ltd,801449649,Rf:Waste Management,Refuse Collection-Clinical,"216,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1494191,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"88,633.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1494193,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"105,370.81"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1495912,Castle Water Limited,189775040,Rf:Energy,Water,"36,644.21"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1499377,Fashion Enter Ltd,877656754,Tw:Commercial  Finance,Staff Clothing,"76,413.77"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1500209,London School Of Hygiene & Tropical Medicine,233756066,Tw:Tss-9314 A.Rodgers Pantheon,Pathology Tests Joint Venture,"67,419.07"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1500577,Artic Building Services Limited,718578593,Rf:Ucl-Maintenance,Building Contracts,"60,881.78"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1501511,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,349.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1502657,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"51,825.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1502727,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"43,885.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1502814,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"44,366.44"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1502815,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"27,275.56"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,1503850,Pharmaxo Pharmacy Services Ltd,210696424,Tw:Balance Sheet,Pharmacy Issues & Receipts,"31,841.28"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,19412,Janssen-Cilag Ltd,207929448,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"30,204.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,04/09/2020,19463,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"27,920.09"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1440475,Bunzl Healthcare,286014266,Rf:Covid-19 (Surge),Staff Clothing,"85,669.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1453262,Alliance Medical Ltd,523318667,Ch:Sonography,Radiology Equipment,"31,377.27"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1457576,Ellis Building Services Ltd,259448855,Rf:Covid 19 2na Icu Surge,Eng Mnt-Ext Repairs,"101,864.53"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1464586,Bytes Software Services Ltd,823818226,Tw:Information Man And Tech,Other Non-Clinical Supplies,"46,692.07"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1469379,Ellis Building Services Ltd,259448855,Rf:Covid 19 2na Icu Surge,Eng Mnt-Ext Repairs,"187,125.53"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1473097,Alliance Medical Ltd,523318667,Ch:Sonography,Radiology Equipment,"47,947.19"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1475826,Capri Mechanical Serv Ltd,251184872,Rf:Mechanical Projects-Backlog,Estates Services Contracts,"47,308.19"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1477237,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"101,717.57"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1481759,Bytes Software Services Ltd,823818226,Tw:Information Man And Tech,Other Non-Clinical Supplies,"47,572.85"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1484926,Siemens Financial Services Ltd,222438292,Rf:Itu 3/4,Rentals Operating Leases,"103,099.05"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1491202,Utilyx Healthcare Energy Services Ltd,416706654,Rf:Mechanical Projects-Backlog,Eng Mnt-Ext Repairs,"30,253.10"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1496617,Cfes Limited,876320218,Tw:Covid-19 Stp,Other Non-Clinical Supplies,"88,261.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1496924,Mbi Healthcare Technologies Ltd,157524303,Tw:Performance Information,It Service Contracts,"230,316.98"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1500095,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"101,717.57"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1500362,Haverstock Healthcare Ltd,215028936,Rf:A & E Nursing,Services Ccgs Clinical,"75,021.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1502294,Synertec Ltd,736676494,Tw:Patient Systems,Office Equipment,"32,072.49"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1502728,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"35,935.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1503368,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"39,867.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1505557,Bunzl Healthcare,286014266,Rf:Covid-19 (Surge),Staff Clothing,"-76,444.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1506248,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"55,727.24"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,1507209,Childcare Vouchers Ltd,649503520,Tw:Balance Sheet,Creditors-S&W-Jury Service,"28,737.36"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,19662,Polar Speed Distribution Ltd,849745765,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"27,300.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,4062,Compass Contract Services (Uk) Limited,466477701,Tw:Soft Fm Contracts,Other Soft Fm Contracts,"321,515.30"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,11/09/2020,4067,Currie & Brown Uk Limited,737655010,Tw:Whht Consultancy,Consultancy Fees,"76,996.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,15/09/2020,1488924,Rfl Property Services Limited,,Tw:Balance Sheet,Property Services Finance Leas,"1,828,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,17/09/2020,1497032,Metier Healthcare Ltd,726536033,Bh:Pfi Project,Consultancy Fees,"3,610,743.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1258919,University College London,524371168,Tw:Ucl Sal Rechge Ap Inv Only,Consultant-Som,"25,315.17"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1435151,North Middlesex University Hospital Nhs Trust,654946204,Rf:Hepatology,Consultant - Recharge In,"32,847.11"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1443740,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"295,502.42"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1445024,University College London,524371168,Tw: 11454 Kate Walters Pd-Care,Services Uclh Ft Clinical,"85,383.06"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1453067,Bioquell Uk Ltd,361105396,Rf:Rfh Facilities Management,Cleaning Equipment & Materials,"104,808.77"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1456923,Cepheid Uk Limited,790308722,Rf:Hep C / Odn,Laboratory Equipment,"41,566.63"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1460126,Rfl Dispensary Services Ltd,320084155,Tw:Balance Sheet,Pharmacy Issues & Receipts,"1,288,841.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1461237,Bioquell Uk Ltd,361105396,Rf:Rfh Facilities Management,Cleaning Equipment & Materials,"104,808.77"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1461898,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"207,436.75"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1478819,Baxter Healthcare Ltd,103222439,Rf:Covid 19 2na Icu Surge,Engineering Equip & Materials,"116,222.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1481664,Rfl Property Services Limited,,Ch:Soft Fm Contracts,Ic Soft Fm,"261,284.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1481889,Rfl Dispensary Services Ltd,320084155,Tw:Balance Sheet,Pharmacy Issues & Receipts,"1,559,252.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1482061,The Hillingdon Hospitals Nhs Ft,654925117,Rf:Mount Vernon,Services Nhs Fts Clinical,"222,133.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1484014,Bianco Sale Limited,782304925,Rf:Ext Building Fabric-Backlog,Consultancy Fees,"29,940.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1484878,Notting Hill Genesis,577334122,Rf:Princess Christian House,Rent,"58,644.63"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1485342,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"33,561.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1486136,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"106,394.74"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1493406,Advanced Detection Systems Ltd,606429055,Rf:Rfh Security,Msse Maintenance Contracts,"43,600.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1496748,Imperial College Healthcare Nhs Trust,654945990,Rf:Haemophilia,Drugs (Tedd),"233,930.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1497261,Rfl Property Services Limited,,Ch:Soft Fm Contracts,Ic Soft Fm,"68,052.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1497274,Ernst & Young Llp,773831408,Tw:Financial Director,Consultancy Fees,"36,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1497294,Uclh Nhs Foundation Trust,654948687,Rf:Diabetic Team,Services Uclh Ft Clinical,"33,561.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1497832,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"143,556.81"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1497836,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"100,852.17"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1499375,Ellis Building Services Ltd,259448855,Rf:Mechanical Projects-Backlog,Engineering Equip & Materials,"40,325.76"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1499430,Medtronic Ltd,467254526,Rf:Vascular Surgery,Cardiovascular Stents,"28,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1499983,Bevan Brittan Llp,840723148,Tw:Clinical Risk + Safety,Legal Costs,"26,467.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1500051,North Middlesex University Hospital Nhs Trust,654946204,Bh:Ear Nose & Throat,Services Other Nhs Clinical,"32,439.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1500131,Ascom (Uk) Ltd,205503996,Tw:Emergencycapnursing Devices,Other Non-Clinical Supplies,"96,707.33"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1500331,Martech Technical Services Ltd,881307326,Rf:Int Building Fabric-Backlog,Building Contracts,"31,572.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1500358,Haverstock Healthcare Ltd,215028936,Rf:Diabetic Team,Healthcare Commercial Sector,"85,396.58"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1500465,Supply Chain Coordination Ltd (Maintenance),290885854,Bh:Radiology,Msse Maintenance Contracts,"47,869.85"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1500681,Insight Direct (Uk) Ltd,,Tw:Information Man And Tech,Other Non-Clinical Supplies,"42,161.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1500734,The Whittington Hospital Nhs Trust,654948100,Tw:Accounts Payable,Services Nhsts Non-Clinical,"186,653.42"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1501229,Supply Chain Coordination Ltd (Consumables),290885854,Tw:Balance Sheet,Creditors-Nhs Supplies Service,"110,571.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1501430,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,349.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1501440,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,349.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1501949,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"36,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1502838,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,118.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1504983,Rfl Property Services Limited,,Tw:Balance Sheet,Property Services Finance Leas,"1,828,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1505513,Philips Respironics Uk Ltd,407850060,Rf:Thoracic Medicine,Anaesthetic Equip&Accessories,"31,179.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1505558,Logan Construction (Se) Ltd,674915890,Rf:Nucmed Enabling Works,Consultancy Fees,"357,348.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1506500,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"38,067.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1508822,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"25,118.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1508843,Lloydspharmacy Clinical Homecare,222516987,Tw:Balance Sheet,Pharmacy Issues & Receipts,"27,971.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1509161,Healthcare At Home Ltd,873342418,Tw:Balance Sheet,Pharmacy Issues & Receipts,"26,813.16"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510108,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"57,600.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510362,Aah Pharmaceutical Ltd,546573322,Tw:Balance Sheet,Pharmacy Issues & Receipts,"32,349.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510540,Bristol-Myers Squibb Pharmaceuticals Ltd,163542667,Tw:Balance Sheet,Pharmacy Issues & Receipts,"49,917.30"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510542,Bristol-Myers Squibb Pharmaceuticals Ltd,163542667,Tw:Balance Sheet,Pharmacy Issues & Receipts,"58,950.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510543,Bristol-Myers Squibb Pharmaceuticals Ltd,163542667,Tw:Balance Sheet,Pharmacy Issues & Receipts,"61,612.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510544,Bristol-Myers Squibb Pharmaceuticals Ltd,163542667,Tw:Balance Sheet,Pharmacy Issues & Receipts,"30,806.10"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510545,Bristol-Myers Squibb Pharmaceuticals Ltd,163542667,Tw:Balance Sheet,Pharmacy Issues & Receipts,"41,074.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510547,Bristol-Myers Squibb Pharmaceuticals Ltd,163542667,Tw:Balance Sheet,Pharmacy Issues & Receipts,"85,877.04"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510549,Bristol-Myers Squibb Pharmaceuticals Ltd,163542667,Tw:Balance Sheet,Pharmacy Issues & Receipts,"34,191.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510660,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet,Pharmacy Issues & Receipts,"208,470.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510914,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"74,352.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510915,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"44,611.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510916,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"74,352.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510917,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"74,352.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510926,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"37,176.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510927,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"37,410.72"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510928,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"74,352.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510929,Roche Products Ltd,600358871,Tw:Balance Sheet,Pharmacy Issues & Receipts,"74,352.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1510985,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"27,573.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1511498,Alloga Uk,684090520,Tw:Balance Sheet,Pharmacy Issues & Receipts,"36,000.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1511528,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet,Pharmacy Issues & Receipts,"-25,644.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1511559,Alliance Healthcare (Distribution) Ltd,391532058,Tw:Balance Sheet,Pharmacy Issues & Receipts,"-29,520.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1511629,Abm Aviation (Uk) Limited,325097895,Rf:Rfh Facilities Management,Other Non-Clinical Services,"-156,652.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1512225,Abm Aviation (Uk) Limited,325097895,Rf:Rfh Facilities Management,Other Non-Clinical Services,"206,438.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1512226,Abm Aviation (Uk) Limited,325097895,Rf:Rfh Facilities Management,Other Non-Clinical Services,"272,037.97"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1512227,University College London,524371168,Tw:Ucl Sal Rechge Ap Inv Only,Consultant-Som,"43,617.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1512230,University College London,524371168,Tw:Ucl Sal Rechge Ap Inv Only,Consultant-Som,"445,253.76"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1512233,University College London,524371168,Tw:Ucl Sal Rechge Ap Inv Only,Consultant-Som,"445,253.76"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1512234,University College London,524371168,Tw:Ucl Sal Rechge Ap Inv Only,Consultant-Som,"445,253.76"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1512235,University College London,524371168,Tw:Ucl Sal Rechge Ap Inv Only,Consultant-Som,"445,253.76"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1512618,Haverstock Healthcare Ltd,215028936,Rf:A & E Nursing,Services Ccgs Clinical,"75,021.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1512622,Haverstock Healthcare Ltd,215028936,Rf:Diabetic Team,Healthcare Commercial Sector,"85,396.58"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1512695,Darwin Group Limited,907075331,Bh:Modular Ward,Building Contracts,"84,675.88"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1512711,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"66,033.19"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1512712,Dhl Supply Chain Ltd,230113042,Rf:Rfh Transport,Transport-Misc.Expenses,"62,510.57"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1512999,Hmrc Cumbernauld,,Tw:Balance Sheet,Creditors - Income Tax,"6,963,793.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1513001,Hmrc Cumbernauld,,Tw:Balance Sheet,Creditors-Nat Insurance-Ees,"3,358,686.77"
Department of Health,Royal Free London NHS Foundation Trust,2020,6,18/09/2020,1513002,Hmrc Cumbernauld,,Tw:Balance Sheet,Creditors-Nat Insurance-Ers,"4,550,098.95"
